      Step     Time          Energy          fmax
BFGS:    0 11:27:14     -202.180910        4.157211
BFGS:    1 11:27:17     -202.224040        4.846182
BFGS:    2 11:27:19     -202.412873        2.725843
BFGS:    3 11:27:22     -202.732596        3.816878
BFGS:    4 11:27:25     -202.829243        1.395574
BFGS:    5 11:27:27     -202.848845        0.377156
BFGS:    6 11:27:30     -202.856771        0.483857
BFGS:    7 11:27:33     -202.868240        0.447170
BFGS:    8 11:27:35     -202.870707        0.198082
BFGS:    9 11:27:38     -202.871518        0.105754
BFGS:   10 11:27:41     -202.872725        0.253345
BFGS:   11 11:27:43     -202.874733        0.365824
BFGS:   12 11:27:46     -202.876668        0.302576
BFGS:   13 11:27:49     -202.877793        0.116022
BFGS:   14 11:27:51     -202.878355        0.060253
BFGS:   15 11:27:54     -202.878858        0.135551
BFGS:   16 11:27:57     -202.879387        0.157682
BFGS:   17 11:27:59     -202.879704        0.091221
BFGS:   18 11:28:02     -202.879814        0.025096
