      Step     Time          Energy          fmax
BFGS:    0 01:44:11     -202.031105        4.266901
BFGS:    1 01:44:14     -202.049133        4.904561
BFGS:    2 01:44:17     -202.214753        2.564066
BFGS:    3 01:44:19     -202.440801        3.635165
BFGS:    4 01:44:22     -202.690362        4.338845
BFGS:    5 01:44:25     -202.788554        1.174789
BFGS:    6 01:44:27     -202.833038        0.468977
BFGS:    7 01:44:30     -202.843197        0.423469
BFGS:    8 01:44:33     -202.867940        0.777744
BFGS:    9 01:44:35     -202.876428        0.555323
BFGS:   10 01:44:38     -202.882907        0.225150
BFGS:   11 01:44:41     -202.889175        0.416394
BFGS:   12 01:44:43     -202.899463        0.706079
BFGS:   13 01:44:46     -202.907772        0.570082
BFGS:   14 01:44:49     -202.911530        0.208613
BFGS:   15 01:44:51     -202.912234        0.042080
