      Step     Time          Energy          fmax
BFGS:    0 03:15:43     -197.879559       14.315142
BFGS:    1 03:15:45     -201.740490        2.561439
BFGS:    2 03:15:48     -201.902561        2.271370
BFGS:    3 03:15:51     -202.111714        2.337544
BFGS:    4 03:15:53     -202.228696        1.746318
BFGS:    5 03:15:56     -202.361896        1.625699
BFGS:    6 03:15:59     -202.659050        0.850716
BFGS:    7 03:16:01     -202.747218        0.563060
BFGS:    8 03:16:04     -202.785932        0.499181
BFGS:    9 03:16:06     -202.818839        0.608142
BFGS:   10 03:16:09     -202.858801        0.485023
BFGS:   11 03:16:12     -202.869304        0.215072
BFGS:   12 03:16:14     -202.873136        0.165490
BFGS:   13 03:16:17     -202.875968        0.150826
BFGS:   14 03:16:20     -202.878301        0.143650
BFGS:   15 03:16:23     -202.879373        0.069772
BFGS:   16 03:16:25     -202.879622        0.031438
