      Step     Time          Energy          fmax
BFGS:    0 07:27:38     -202.180912        4.157214
BFGS:    1 07:27:40     -202.224057        4.846176
BFGS:    2 07:27:43     -202.412902        2.725952
BFGS:    3 07:27:46     -202.732611        3.817388
BFGS:    4 07:27:48     -202.829246        1.395322
BFGS:    5 07:27:51     -202.848840        0.377103
BFGS:    6 07:27:54     -202.856764        0.484010
BFGS:    7 07:27:56     -202.868242        0.447161
BFGS:    8 07:27:59     -202.870710        0.197922
BFGS:    9 07:28:02     -202.871522        0.105586
BFGS:   10 07:28:04     -202.872730        0.253506
BFGS:   11 07:28:07     -202.874730        0.365576
BFGS:   12 07:28:10     -202.876665        0.302129
BFGS:   13 07:28:12     -202.877789        0.115556
BFGS:   14 07:28:15     -202.878349        0.060334
BFGS:   15 07:28:18     -202.878853        0.135583
BFGS:   16 07:28:21     -202.879384        0.157864
BFGS:   17 07:28:23     -202.879705        0.091225
BFGS:   18 07:28:26     -202.879812        0.025156
