      Step     Time          Energy          fmax
BFGS:    0 22:02:30     -202.031105        4.266905
BFGS:    1 22:02:32     -202.049137        4.904561
BFGS:    2 22:02:35     -202.214754        2.564065
BFGS:    3 22:02:37     -202.440799        3.635165
BFGS:    4 22:02:40     -202.690359        4.338845
BFGS:    5 22:02:43     -202.788556        1.174936
BFGS:    6 22:02:45     -202.833042        0.468828
BFGS:    7 22:02:48     -202.843200        0.423603
BFGS:    8 22:02:51     -202.867941        0.777323
BFGS:    9 22:02:53     -202.876431        0.555185
BFGS:   10 22:02:56     -202.882907        0.225159
BFGS:   11 22:02:59     -202.889179        0.416527
BFGS:   12 22:03:02     -202.899463        0.705907
BFGS:   13 22:03:04     -202.907777        0.569754
BFGS:   14 22:03:07     -202.911526        0.208472
BFGS:   15 22:03:10     -202.912233        0.042080
