      Step     Time          Energy          fmax
BFGS:    0 15:38:42     -202.521372        4.792300
BFGS:    1 15:38:45     -202.519195        5.369621
BFGS:    2 15:38:47     -202.701794        1.904230
BFGS:    3 15:38:50     -202.746165        1.043619
BFGS:    4 15:38:52     -202.766731        0.786305
BFGS:    5 15:38:55     -202.790582        0.537733
BFGS:    6 15:38:58     -202.806857        0.532895
BFGS:    7 15:39:00     -202.829446        0.364878
BFGS:    8 15:39:03     -202.847518        0.380820
BFGS:    9 15:39:05     -202.859895        0.290465
BFGS:   10 15:39:08     -202.868505        0.284905
BFGS:   11 15:39:11     -202.876196        0.247197
BFGS:   12 15:39:13     -202.878810        0.097117
BFGS:   13 15:39:16     -202.879241        0.041239
