      Step     Time          Energy          fmax
BFGS:    0 19:40:27     -185.871292       38.703910
BFGS:    1 19:40:30     -196.861071       11.905603
BFGS:    2 19:40:33     -199.033962        4.785740
BFGS:    3 19:40:35     -200.174028        3.101720
BFGS:    4 19:40:38     -200.595181        2.780797
BFGS:    5 19:40:41     -200.893988        3.126958
BFGS:    6 19:40:44     -201.285051        3.349097
BFGS:    7 19:40:46     -201.770544        2.819532
BFGS:    8 19:40:49     -202.273355        1.790239
BFGS:    9 19:40:52     -202.554860        0.876807
BFGS:   10 19:40:54     -202.646955        0.821928
BFGS:   11 19:40:57     -202.689541        0.767065
BFGS:   12 19:41:00     -202.840758        0.437319
BFGS:   13 19:41:02     -202.861899        0.243248
BFGS:   14 19:41:05     -202.868810        0.154890
BFGS:   15 19:41:08     -202.872441        0.149371
BFGS:   16 19:41:10     -202.876630        0.119995
BFGS:   17 19:41:13     -202.878660        0.076238
BFGS:   18 19:41:15     -202.879206        0.045325
