      Step     Time          Energy          fmax
BFGS:    0 06:38:40     -194.302998       48.039082
BFGS:    1 06:38:43     -199.417732       36.084274
BFGS:    2 06:38:45     -201.761101        5.029680
BFGS:    3 06:38:48     -202.050673        3.209136
BFGS:    4 06:38:51     -202.269810        3.341492
BFGS:    5 06:38:53     -202.355241        2.933428
BFGS:    6 06:38:56     -202.639262        1.026797
BFGS:    7 06:38:59     -202.676507        1.002888
BFGS:    8 06:39:02     -202.784191        0.526067
BFGS:    9 06:39:04     -202.809780        0.366981
BFGS:   10 06:39:07     -202.814823        0.397917
BFGS:   11 06:39:10     -202.816698        0.366664
BFGS:   12 06:39:13     -202.817858        0.193719
BFGS:   13 06:39:16     -202.818415        0.063021
BFGS:   14 06:39:18     -202.818772        0.092928
BFGS:   15 06:39:21     -202.818968        0.124160
BFGS:   16 06:39:24     -202.819120        0.102773
BFGS:   17 06:39:27     -202.819287        0.050585
BFGS:   18 06:39:29     -202.819403        0.008576
