      Step     Time          Energy          fmax
BFGS:    0 02:57:03     -194.370862        1.931375
BFGS:    1 02:57:05     -194.485656        1.092476
BFGS:    2 02:57:08     -194.602699        0.960926
BFGS:    3 02:57:10     -194.642532        0.691662
BFGS:    4 02:57:13     -194.652156        0.228795
BFGS:    5 02:57:16     -194.653297        0.116462
BFGS:    6 02:57:18     -194.654983        0.268282
BFGS:    7 02:57:21     -194.657682        0.382750
BFGS:    8 02:57:23     -194.660699        0.346669
BFGS:    9 02:57:26     -194.662641        0.183632
BFGS:   10 02:57:29     -194.663951        0.123155
BFGS:   11 02:57:31     -194.665914        0.268483
BFGS:   12 02:57:34     -194.669422        0.414246
BFGS:   13 02:57:36     -194.674617        0.474129
BFGS:   14 02:57:39     -194.679666        0.338055
BFGS:   15 02:57:42     -194.682899        0.160524
BFGS:   16 02:57:44     -194.684837        0.156734
BFGS:   17 02:57:47     -194.686838        0.264217
BFGS:   18 02:57:49     -194.689077        0.244757
BFGS:   19 02:57:52     -194.690204        0.109608
BFGS:   20 02:57:55     -194.690446        0.017857
