      Step     Time          Energy          fmax
BFGS:    0 07:49:48     -203.768452        3.330024
BFGS:    1 07:49:51     -204.324717        1.950359
BFGS:    2 07:49:54     -204.930268        1.313942
BFGS:    3 07:49:57     -205.082028        1.218919
BFGS:    4 07:49:59     -205.221986        0.773677
BFGS:    5 07:50:02     -205.304299        0.884339
BFGS:    6 07:50:05     -205.408622        1.282453
BFGS:    7 07:50:08     -205.646495        1.903495
BFGS:    8 07:50:11     -205.932473        1.813753
BFGS:    9 07:50:14     -206.158887        1.150234
BFGS:   10 07:50:17     -206.275653        0.374992
BFGS:   11 07:50:19     -206.309628        0.374127
BFGS:   12 07:50:22     -206.340680        0.337268
BFGS:   13 07:50:25     -206.380770        0.410961
BFGS:   14 07:50:28     -206.404990        0.292059
BFGS:   15 07:50:30     -206.413277        0.167811
BFGS:   16 07:50:33     -206.417500        0.180002
BFGS:   17 07:50:35     -206.421790        0.229909
BFGS:   18 07:50:38     -206.425805        0.169400
BFGS:   19 07:50:41     -206.427581        0.065464
BFGS:   20 07:50:44     -206.428046        0.029319
