      Step     Time          Energy          fmax
BFGS:    0 05:35:39     -205.817239        1.019587
BFGS:    1 05:35:42     -205.859206        0.551969
BFGS:    2 05:35:45     -205.921334        0.646491
BFGS:    3 05:35:47     -205.958302        0.729534
BFGS:    4 05:35:50     -206.000647        0.562985
BFGS:    5 05:35:53     -206.020833        0.355958
BFGS:    6 05:35:56     -206.036475        0.444365
BFGS:    7 05:35:59     -206.064135        0.813326
BFGS:    8 05:36:02     -206.116944        1.154292
BFGS:    9 05:36:04     -206.195431        1.182283
BFGS:   10 05:36:07     -206.260396        0.787948
BFGS:   11 05:36:10     -206.299958        0.431770
BFGS:   12 05:36:13     -206.331300        0.421962
BFGS:   13 05:36:16     -206.361844        0.598356
BFGS:   14 05:36:18     -206.391968        0.518623
BFGS:   15 05:36:21     -206.411361        0.229001
BFGS:   16 05:36:24     -206.417002        0.147280
BFGS:   17 05:36:26     -206.419772        0.177987
BFGS:   18 05:36:29     -206.424201        0.133791
BFGS:   19 05:36:32     -206.426408        0.094210
BFGS:   20 05:36:35     -206.427476        0.045588
