      Step     Time          Energy          fmax
BFGS:    0 04:53:28     -206.314019        0.216075
BFGS:    1 04:53:31     -206.316499        0.185876
BFGS:    2 04:53:34     -206.324492        0.235631
BFGS:    3 04:53:37     -206.327597        0.233126
BFGS:    4 04:53:40     -206.330453        0.127848
BFGS:    5 04:53:43     -206.331797        0.211799
BFGS:    6 04:53:46     -206.334088        0.313757
BFGS:    7 04:53:49     -206.338671        0.421937
BFGS:    8 04:53:52     -206.346699        0.465080
BFGS:    9 04:53:54     -206.356421        0.320694
BFGS:   10 04:53:57     -206.363909        0.270576
BFGS:   11 04:54:00     -206.370501        0.258192
BFGS:   12 04:54:03     -206.380961        0.460399
BFGS:   13 04:54:06     -206.395051        0.579796
BFGS:   14 04:54:08     -206.410353        0.465773
BFGS:   15 04:54:11     -206.419266        0.189310
BFGS:   16 04:54:14     -206.421912        0.094368
BFGS:   17 04:54:16     -206.423390        0.127386
BFGS:   18 04:54:19     -206.424828        0.116164
BFGS:   19 04:54:21     -206.425574        0.055585
BFGS:   20 04:54:24     -206.425875        0.028252
